magazine_id,data_article,data_external_id,aria_label,lang,tag_name,class_name,page_number,url
8,1702870/29/3,_28_5,Kalaallit Nunaata sermersua aakkiartupiloortoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/26
8,1702870/29/4,_28_6,Nordøstgrønland taber sig,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/26
8,1702870/29/5,_28_8,Fisker forsvandt,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/26
8,1702870/30/1,_30_1,»M isigisassa kka ta ma k ker put«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/28
8,1702870/32/1,_32_1,»Nu er ringen er sluttet«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",16,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/30
8,1702870/34/1,_34_1,Inuit Ataqatigiit iluminni nalilersuissasut Siumup piumasaraa,da,path,"{'animVal': 'article', 'baseVal': 'article'}",17,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/32
8,1702870/34/2,_34_2,Uukapaatitsineq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",17,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/32
8,1702870/34/3,_34_4,"Siumut kræver, at Inuit Ataqatigiit laver en intern vurdering",da,path,"{'animVal': 'article', 'baseVal': 'article'}",17,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/32
8,1702870/34/4,_34_6,Blår i øjnene,da,path,"{'animVal': 'article', 'baseVal': 'article'}",17,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/32
8,1702870/35/1,_34_3,Aalisartut piniar tullu ullorsiornissinni pilluaritsi,da,path,"{'animVal': 'article', 'baseVal': 'article'}",17,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/32
8,1702870/35/2,_34_5,Tillykke til fangere og fiskere,da,path,"{'animVal': 'article', 'baseVal': 'article'}",17,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/32
8,1702870/36/1,_36_1,Inuit innarluutillit angerlarsimaffeeruttarput,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/34
8,1702870/36/2,_36_2,Kukkunersiuinermut ataatsimiititaliap aningaasaqarnermik aqutsinermik isornartorsiuinera,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/34
8,1702870/36/3,_36_3,Personer med handicap ender i hjemløshed,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/34
